consequence_class,var_type,length_bin,n,dv_concordant,dv_discordant,fv_concordant,fv_discordant,dv_upper95
intron_variant&splice_donor_region_variant,mnv,0,30,30,0,24,6,1.16e-01
NMD_transcript_variant&inframe_deletion&splice_region_variant,del,-3,30,30,0,26,4,1.16e-01
NMD_transcript_variant&intron_variant&splice_region_variant,mnv,0,30,30,0,30,0,1.16e-01
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,ins,+3,30,30,0,30,0,1.16e-01
intron_variant&non_coding_transcript_variant,ins,+3,30,30,0,30,0,1.16e-01
non_coding_transcript_variant&splice_donor_variant,del,-1,29,29,0,29,0,1.19e-01
5_prime_UTR_variant&NMD_transcript_variant,del,-2,29,29,0,29,0,1.19e-01
3_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_acceptor_variant&splice_donor_5th_base_variant&splice_donor_variant,del,->50,29,29,0,0,29,1.19e-01
intron_variant&non_coding_transcript_variant&splice_region_variant,ins,+1,29,29,0,1,28,1.19e-01
3_prime_UTR_variant&NMD_transcript_variant&splice_region_variant,del,-4..10,28,28,0,1,27,1.23e-01
NMD_transcript_variant&intron_variant&splice_acceptor_variant&splice_polypyrimidine_tract_variant,del,-3,28,28,0,0,28,1.23e-01
protein_altering_variant,ins,+3,27,27,0,0,27,1.28e-01
5_prime_UTR_variant&NMD_transcript_variant,del,-1,27,27,0,27,0,1.28e-01
downstream_gene_variant,ins,+>50,26,26,0,26,0,1.32e-01
intron_variant&non_coding_transcript_variant&splice_donor_5th_base_variant,del,-4..10,26,26,0,1,25,1.32e-01
NMD_transcript_variant&intron_variant,ins,+>50,26,26,0,26,0,1.32e-01
3_prime_UTR_variant&NMD_transcript_variant&splice_donor_variant,del,-11..50,26,26,0,18,8,1.32e-01
protein_altering_variant&stop_gained,ins,+4..10,26,26,0,0,26,1.32e-01
frameshift_variant&splice_donor_variant,ins,+2,25,25,0,0,25,1.37e-01
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant&splice_region_variant,del,-2,25,25,0,23,2,1.37e-01
NMD_transcript_variant&frameshift_variant&start_lost,del,-1,25,25,0,0,25,1.37e-01
frameshift_variant&splice_region_variant,ins,+4..10,25,25,0,25,0,1.37e-01
coding_sequence_variant&incomplete_terminal_codon_variant,snv,0,24,24,0,0,24,1.42e-01
inframe_insertion,ins,+>50,24,24,0,24,0,1.42e-01
3_prime_UTR_variant,del,->50,24,24,0,22,2,1.42e-01
NMD_transcript_variant&intron_variant&splice_donor_region_variant,ins,+2,23,23,0,0,23,1.48e-01
non_coding_transcript_exon_variant&splice_region_variant,del,-3,23,23,0,16,7,1.48e-01
intron_variant&splice_donor_region_variant,del,-3,23,23,0,0,23,1.48e-01
non_coding_transcript_exon_variant&splice_region_variant,ins,+1,23,23,0,23,0,1.48e-01
intron_variant&non_coding_transcript_exon_variant&splice_donor_5th_base_variant&splice_donor_variant,del,->50,23,23,0,0,23,1.48e-01
3_prime_UTR_variant&NMD_transcript_variant&splice_region_variant,del,-2,23,23,0,23,0,1.48e-01
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant&splice_region_variant,del,-4..10,23,23,0,16,7,1.48e-01
3_prime_UTR_variant&stop_lost,del,->50,23,23,0,0,23,1.48e-01
NMD_transcript_variant&frameshift_variant&splice_region_variant,del,-4..10,23,23,0,3,20,1.48e-01
NMD_transcript_variant&frameshift_variant&splice_region_variant,del,-2,22,22,0,22,0,1.54e-01
5_prime_UTR_variant,mnv,0,22,22,0,22,0,1.54e-01
frameshift_variant&splice_region_variant,ins,+11..50,22,22,0,22,0,1.54e-01
inframe_deletion,del,->50,22,22,0,22,0,1.54e-01
NMD_transcript_variant&frameshift_variant,ins,+>50,22,22,0,22,0,1.54e-01
NMD_transcript_variant&intron_variant&splice_donor_5th_base_variant,del,-2,21,21,0,16,5,1.61e-01
NMD_transcript_variant&intron_variant&splice_donor_region_variant,ins,+4..10,21,21,0,13,8,1.61e-01
NMD_transcript_variant&coding_sequence_variant&intron_variant&splice_acceptor_variant&splice_donor_5th_base_variant&splice_donor_variant,del,->50,21,21,0,0,21,1.61e-01
3_prime_UTR_variant,del,-11..50,21,21,0,21,0,1.61e-01
frameshift_variant&start_lost,ins,+1,21,21,0,0,21,1.61e-01
NMD_transcript_variant&frameshift_variant&splice_region_variant,del,-11..50,21,21,0,3,18,1.61e-01
inframe_insertion&stop_gained,ins,+11..50,21,21,0,0,21,1.61e-01
3_prime_UTR_variant&NMD_transcript_variant&splice_region_variant,ins,+1,21,21,0,21,0,1.61e-01
3_prime_UTR_variant&NMD_transcript_variant,del,->50,21,21,0,20,1,1.61e-01
intron_variant&non_coding_transcript_variant&splice_donor_region_variant,ins,+2,21,21,0,0,21,1.61e-01
NMD_transcript_variant&coding_sequence_variant&splice_acceptor_variant,del,-11..50,20,20,0,0,20,1.68e-01
inframe_deletion&splice_region_variant,del,-4..10,20,20,0,0,20,1.68e-01
5_prime_UTR_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,->50,20,20,0,0,20,1.68e-01
3_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_acceptor_variant,del,->50,20,20,0,0,20,1.68e-01
intron_variant&splice_region_variant,del,-4..10,20,20,0,10,10,1.68e-01
NMD_transcript_variant&coding_sequence_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-4..10,19,19,0,0,19,1.76e-01
NMD_transcript_variant&intron_variant&splice_region_variant,del,-1,19,19,0,19,0,1.76e-01
intron_variant&non_coding_transcript_variant&splice_donor_region_variant,ins,+1,19,19,0,18,1,1.76e-01
frameshift_variant&start_lost,del,-1,19,19,0,0,19,1.76e-01
stop_gained,ins,+>50,19,19,0,0,19,1.76e-01
NMD_transcript_variant&protein_altering_variant,del,-3,19,19,0,0,19,1.76e-01
5_prime_UTR_variant,ins,+11..50,18,18,0,18,0,1.85e-01
NMD_transcript_variant&coding_sequence_variant&intron_variant&splice_acceptor_variant&splice_donor_5th_base_variant,del,->50,18,18,0,0,18,1.85e-01
NMD_transcript_variant&coding_sequence_variant&intron_variant&splice_donor_region_variant&splice_donor_variant,del,-4..10,18,18,0,0,18,1.85e-01
NMD_transcript_variant&intron_variant&splice_donor_region_variant,del,-2,18,18,0,13,5,1.85e-01
5_prime_UTR_variant&NMD_transcript_variant&splice_region_variant&start_lost,del,-4..10,18,18,0,0,18,1.85e-01
intron_variant&splice_donor_region_variant,ins,+2,18,18,0,0,18,1.85e-01
NMD_transcript_variant&intron_variant,del,->50,17,17,0,17,0,1.95e-01
coding_sequence_variant&splice_donor_variant,del,-3,17,17,0,17,0,1.95e-01
3_prime_UTR_variant&stop_retained_variant,del,-4..10,17,17,0,0,17,1.95e-01
5_prime_UTR_variant&coding_sequence_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,->50,17,17,0,0,17,1.95e-01
stop_gained,ins,+3,17,17,0,0,17,1.95e-01
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,del,-11..50,17,17,0,9,8,1.95e-01
intron_variant&non_coding_transcript_variant&splice_region_variant,ins,+4..10,17,17,0,7,10,1.95e-01
intron_variant&non_coding_transcript_variant,del,->50,17,17,0,17,0,1.95e-01
intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-11..50,17,17,0,0,17,1.95e-01
NMD_transcript_variant&frameshift_variant&start_lost,ins,+1,16,16,0,0,16,2.06e-01
frameshift_variant&splice_region_variant,ins,+2,16,16,0,16,0,2.06e-01
non_coding_transcript_exon_variant,del,->50,16,16,0,16,0,2.06e-01
5_prime_UTR_variant,ins,+2,16,16,0,16,0,2.06e-01
5_prime_UTR_variant&NMD_transcript_variant,del,-3,15,15,0,15,0,2.18e-01
5_prime_UTR_variant&splice_region_variant,del,-2,15,15,0,15,0,2.18e-01
NMD_transcript_variant&coding_sequence_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-11..50,15,15,0,0,15,2.18e-01
NMD_transcript_variant&coding_sequence_variant&splice_donor_variant,del,->50,15,15,0,11,4,2.18e-01
3_prime_UTR_variant,mnv,0,15,15,0,15,0,2.18e-01
NMD_transcript_variant&intron_variant&splice_donor_region_variant,del,-4..10,15,15,0,9,6,2.18e-01
intron_variant&splice_acceptor_variant&stop_retained_variant,del,->50,14,14,0,0,14,2.32e-01
NMD_transcript_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-4..10,14,14,0,0,14,2.32e-01
3_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,mnv,0,14,14,0,0,14,2.32e-01
intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,ins,+2,14,14,0,14,0,2.32e-01
intron_variant&non_coding_transcript_variant&splice_region_variant,mnv,0,13,13,0,13,0,2.47e-01
5_prime_UTR_variant&start_lost,del,-11..50,13,13,0,0,13,2.47e-01
inframe_deletion&splice_region_variant,del,-11..50,13,13,0,0,13,2.47e-01
non_coding_transcript_exon_variant&splice_region_variant,del,-4..10,13,13,0,7,6,2.47e-01
NMD_transcript_variant&coding_sequence_variant&splice_acceptor_variant,del,-4..10,13,13,0,10,3,2.47e-01
intron_variant&splice_donor_region_variant&splice_donor_variant,mnv,0,13,13,0,0,13,2.47e-01
intron_variant&non_coding_transcript_variant&splice_region_variant,del,-2,13,13,0,4,9,2.47e-01
NMD_transcript_variant&coding_sequence_variant&splice_acceptor_variant,del,-3,13,13,0,13,0,2.47e-01
coding_sequence_variant&intron_variant&splice_acceptor_variant,ins,+2,13,13,0,0,13,2.47e-01
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant,del,-11..50,13,13,0,8,5,2.47e-01
NMD_transcript_variant&intron_variant&splice_donor_region_variant,mnv,0,13,13,0,1,12,2.47e-01
5_prime_UTR_variant,ins,+4..10,13,13,0,13,0,2.47e-01
NMD_transcript_variant&intron_variant&splice_donor_5th_base_variant,del,-1,12,12,0,12,0,2.65e-01
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant,del,-3,12,12,0,8,4,2.65e-01
NMD_transcript_variant&protein_altering_variant&stop_gained,ins,+4..10,12,12,0,0,12,2.65e-01
NMD_transcript_variant&coding_sequence_variant&splice_donor_variant,del,-11..50,12,12,0,10,2,2.65e-01
intron_variant&non_coding_transcript_variant&splice_donor_region_variant&splice_donor_variant,del,-3,12,12,0,0,12,2.65e-01
intron_variant&non_coding_transcript_exon_variant&splice_acceptor_variant&splice_donor_5th_base_variant&splice_donor_variant,del,->50,12,12,0,0,12,2.65e-01
coding_sequence_variant&splice_acceptor_variant,mnv,0,12,12,0,12,0,2.65e-01
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant&splice_region_variant,ins,+3,12,12,0,12,0,2.65e-01
coding_sequence_variant&intron_variant&splice_donor_region_variant&splice_donor_variant,del,-3,11,11,0,0,11,2.85e-01
frameshift_variant&start_lost,del,-2,11,11,0,0,11,2.85e-01
5_prime_UTR_variant,ins,+3,11,11,0,11,0,2.85e-01
3_prime_UTR_variant&NMD_transcript_variant&splice_region_variant,ins,+11..50,11,11,0,11,0,2.85e-01
NMD_transcript_variant&stop_gained,mnv,0,11,11,0,2,9,2.85e-01
non_coding_transcript_variant&splice_region_variant,ins,+1,11,11,0,0,11,2.85e-01
3_prime_UTR_variant,ins,+3,11,11,0,11,0,2.85e-01
intron_variant&splice_region_variant,del,->50,11,11,0,11,0,2.85e-01
5_prime_UTR_variant&NMD_transcript_variant,del,-11..50,11,11,0,9,2,2.85e-01
3_prime_UTR_variant&NMD_transcript_variant&splice_region_variant,ins,+2,11,11,0,11,0,2.85e-01
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant&splice_region_variant,ins,+4..10,10,10,0,10,0,3.08e-01
intron_variant&non_coding_transcript_exon_variant&splice_donor_region_variant&splice_donor_variant,del,-4..10,10,10,0,0,10,3.08e-01
coding_sequence_variant,snv,0,10,10,0,0,10,3.08e-01
inframe_insertion&splice_region_variant,ins,+3,10,10,0,10,0,3.08e-01
5_prime_UTR_variant&NMD_transcript_variant,ins,+1,10,10,0,10,0,3.08e-01
3_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_donor_region_variant&splice_donor_variant,del,-4..10,10,10,0,0,10,3.08e-01
5_prime_UTR_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-4..10,10,10,0,0,10,3.08e-01
3_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_acceptor_variant,del,-11..50,10,10,0,0,10,3.08e-01
intron_variant&non_coding_transcript_exon_variant&splice_acceptor_variant,del,-11..50,10,10,0,0,10,3.08e-01
NMD_transcript_variant&frameshift_variant&stop_gained,del,-2,10,10,0,0,10,3.08e-01
NMD_transcript_variant&frameshift_variant&stop_gained,ins,+>50,10,10,0,0,10,3.08e-01
non_coding_transcript_exon_variant&splice_region_variant,del,-2,10,10,0,10,0,3.08e-01
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant,ins,+11..50,9,9,0,9,0,3.36e-01
NMD_transcript_variant&coding_sequence_variant&intron_variant&splice_acceptor_variant,del,->50,9,9,0,0,9,3.36e-01
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant,ins,+4..10,9,9,0,9,0,3.36e-01
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant&splice_region_variant,mnv,0,9,9,0,6,3,3.36e-01
5_prime_UTR_variant&NMD_transcript_variant,del,-4..10,9,9,0,5,4,3.36e-01
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant,ins,+4..10,9,9,0,9,0,3.36e-01
NMD_transcript_variant&frameshift_variant&stop_gained,ins,+11..50,9,9,0,0,9,3.36e-01
NMD_transcript_variant&stop_lost,mnv,0,9,9,0,9,0,3.36e-01
NMD_transcript_variant&missense_variant&splice_region_variant,mnv,0,9,9,0,8,1,3.36e-01
5_prime_UTR_variant&NMD_transcript_variant&coding_sequence_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,->50,9,9,0,0,9,3.36e-01
3_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_acceptor_variant,del,-4..10,9,9,0,0,9,3.36e-01
3_prime_UTR_variant&NMD_transcript_variant&splice_acceptor_variant,del,-11..50,9,9,0,0,9,3.36e-01
intron_variant&non_coding_transcript_variant&splice_region_variant,del,-4..10,9,9,0,5,4,3.36e-01
3_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-11..50,9,9,0,0,9,3.36e-01
coding_sequence_variant&splice_acceptor_variant,del,-3,9,9,0,8,1,3.36e-01
coding_sequence_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,mnv,0,8,8,0,0,8,3.69e-01
NMD_transcript_variant&inframe_insertion&splice_region_variant,ins,+11..50,8,8,0,8,0,3.69e-01
intron_variant&splice_region_variant,del,-3,8,8,0,8,0,3.69e-01
intron_variant&non_coding_transcript_exon_variant&splice_acceptor_variant,del,->50,8,8,0,0,8,3.69e-01
NMD_transcript_variant&inframe_insertion,ins,+>50,8,8,0,8,0,3.69e-01
non_coding_transcript_exon_variant&splice_donor_variant,del,-11..50,8,8,0,6,2,3.69e-01
NMD_transcript_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-11..50,8,8,0,0,8,3.69e-01
NMD_transcript_variant&splice_donor_variant,del,-2,8,8,0,8,0,3.69e-01
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant,ins,+>50,8,8,0,8,0,3.69e-01
intron_variant&non_coding_transcript_exon_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-11..50,8,8,0,0,8,3.69e-01
intron_variant&non_coding_transcript_variant&splice_donor_region_variant,ins,+4..10,7,7,0,7,0,4.10e-01
intron_variant&splice_polypyrimidine_tract_variant,mnv,0,7,7,0,7,0,4.10e-01
coding_sequence_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-3,7,7,0,0,7,4.10e-01
coding_sequence_variant&intron_variant&splice_acceptor_variant&splice_donor_5th_base_variant,del,->50,7,7,0,0,7,4.10e-01
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant,del,-11..50,7,7,0,2,5,4.10e-01
NMD_transcript_variant&stop_gained,ins,+3,7,7,0,0,7,4.10e-01
NMD_transcript_variant&intron_variant&splice_donor_region_variant,del,-3,7,7,0,0,7,4.10e-01
NMD_transcript_variant&intron_variant&splice_donor_5th_base_variant,del,-3,7,7,0,5,2,4.10e-01
non_coding_transcript_variant&splice_acceptor_variant,del,-2,7,7,0,7,0,4.10e-01
intron_variant&non_coding_transcript_variant&splice_donor_region_variant,del,-2,7,7,0,6,1,4.10e-01
intron_variant&non_coding_transcript_variant,ins,+>50,7,7,0,7,0,4.10e-01
NMD_transcript_variant&intron_variant&splice_region_variant,del,->50,7,7,0,7,0,4.10e-01
splice_donor_variant,del,-2,6,6,0,6,0,4.59e-01
3_prime_UTR_variant&NMD_transcript_variant&splice_donor_variant,del,-4..10,6,6,0,0,6,4.59e-01
intron_variant&non_coding_transcript_variant&splice_donor_region_variant,del,-4..10,6,6,0,2,4,4.59e-01
NMD_transcript_variant&intron_variant&splice_donor_region_variant&splice_donor_variant,mnv,0,6,6,0,0,6,4.59e-01
5_prime_UTR_variant&NMD_transcript_variant,ins,+11..50,6,6,0,6,0,4.59e-01
NMD_transcript_variant&frameshift_variant&splice_donor_variant,ins,+2,6,6,0,0,6,4.59e-01
3_prime_UTR_variant&NMD_transcript_variant&splice_region_variant,mnv,0,6,6,0,4,2,4.59e-01
NMD_transcript_variant&frameshift_variant,del,->50,6,6,0,6,0,4.59e-01
NMD_transcript_variant&splice_donor_variant,ins,+1,6,6,0,6,0,4.59e-01
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant&splice_region_variant,del,-11..50,6,6,0,2,4,4.59e-01
intron_variant&non_coding_transcript_exon_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-4..10,6,6,0,0,6,4.59e-01
inframe_insertion&splice_region_variant,ins,+4..10,6,6,0,6,0,4.59e-01
intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,del,->50,6,6,0,0,6,4.59e-01
3_prime_UTR_variant&NMD_transcript_variant&stop_lost,del,-4..10,6,6,0,0,6,4.59e-01
5_prime_UTR_variant&NMD_transcript_variant,ins,+3,6,6,0,6,0,4.59e-01
intron_variant&splice_region_variant,del,-11..50,6,6,0,5,1,4.59e-01
inframe_insertion&stop_gained,ins,+3,5,5,0,0,5,5.22e-01
NMD_transcript_variant&coding_sequence_variant&intron_variant&splice_acceptor_variant,del,-4..10,5,5,0,0,5,5.22e-01
5_prime_UTR_variant&intron_variant&splice_acceptor_variant,del,-11..50,5,5,0,0,5,5.22e-01
non_coding_transcript_variant&splice_donor_variant,ins,+1,5,5,0,5,0,5.22e-01
intron_variant&non_coding_transcript_exon_variant&splice_acceptor_variant&splice_donor_5th_base_variant,del,->50,5,5,0,0,5,5.22e-01
3_prime_UTR_variant&NMD_transcript_variant&splice_region_variant,ins,+4..10,5,5,0,5,0,5.22e-01
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant,ins,+3,5,5,0,5,0,5.22e-01
NMD_transcript_variant&intron_variant&splice_donor_region_variant&splice_donor_variant,del,-4..10,5,5,0,0,5,5.22e-01
NMD_transcript_variant&protein_altering_variant,del,-4..10,5,5,0,0,5,5.22e-01
intron_variant&non_coding_transcript_exon_variant&splice_donor_5th_base_variant&splice_donor_variant,mnv,0,5,5,0,0,5,5.22e-01
3_prime_UTR_variant&stop_lost,del,-11..50,4,4,0,0,4,6.02e-01
3_prime_UTR_variant&NMD_transcript_variant&splice_acceptor_variant,del,-3,4,4,0,4,0,6.02e-01
NMD_transcript_variant&coding_sequence_variant,snv,0,4,4,0,0,4,6.02e-01
intron_variant&splice_acceptor_variant&splice_polypyrimidine_tract_variant,del,-11..50,4,4,0,0,4,6.02e-01
splice_donor_region_variant&synonymous_variant,snv,0,4,4,0,4,0,6.02e-01
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant,mnv,0,4,4,0,4,0,6.02e-01
intron_variant&splice_donor_region_variant,del,-11..50,4,4,0,4,0,6.02e-01
5_prime_UTR_variant&NMD_transcript_variant&coding_sequence_variant,del,-4..10,4,4,0,0,4,6.02e-01
splice_donor_variant,ins,+3,4,4,0,4,0,6.02e-01
splice_region_variant&stop_lost,snv,0,4,4,0,4,0,6.02e-01
intron_variant&non_coding_transcript_variant&splice_donor_region_variant,mnv,0,4,4,0,2,2,6.02e-01
NMD_transcript_variant&frameshift_variant&start_lost,del,-2,4,4,0,0,4,6.02e-01
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,ins,+11..50,4,4,0,4,0,6.02e-01
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant,mnv,0,4,4,0,4,0,6.02e-01
intron_variant&non_coding_transcript_variant&splice_donor_5th_base_variant,del,-2,4,4,0,1,3,6.02e-01
NMD_transcript_variant&stop_lost,del,-1,4,4,0,0,4,6.02e-01
splice_region_variant&start_lost,snv,0,4,4,0,4,0,6.02e-01
5_prime_UTR_variant&splice_region_variant,ins,+1,4,4,0,4,0,6.02e-01
intron_variant&splice_region_variant,ins,+2,4,4,0,4,0,6.02e-01
NMD_transcript_variant&stop_lost,ins,+1,4,4,0,0,4,6.02e-01
non_coding_transcript_exon_variant&splice_region_variant,ins,+11..50,4,4,0,4,0,6.02e-01
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant&splice_region_variant,ins,+11..50,4,4,0,4,0,6.02e-01
intron_variant&non_coding_transcript_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-4..10,4,4,0,0,4,6.02e-01
intron_variant&non_coding_transcript_variant&splice_donor_region_variant&splice_donor_variant,mnv,0,4,4,0,0,4,6.02e-01
non_coding_transcript_exon_variant&splice_region_variant,mnv,0,4,4,0,3,1,6.02e-01
non_coding_transcript_exon_variant&splice_donor_variant,del,-4..10,3,3,0,0,3,7.08e-01
5_prime_UTR_variant&NMD_transcript_variant&start_lost,del,-11..50,3,3,0,0,3,7.08e-01
5_prime_UTR_variant&start_lost,del,-4..10,3,3,0,0,3,7.08e-01
synonymous_variant,mnv,0,3,3,0,3,0,7.08e-01
intron_variant&non_coding_transcript_variant&splice_donor_5th_base_variant,del,-1,3,3,0,3,0,7.08e-01
intron_variant&splice_acceptor_variant&splice_polypyrimidine_tract_variant,del,-4..10,3,3,0,0,3,7.08e-01
NMD_transcript_variant&frameshift_variant&stop_lost,del,-2,3,3,0,0,3,7.08e-01
non_coding_transcript_exon_variant&splice_region_variant,ins,+4..10,3,3,0,3,0,7.08e-01
3_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_acceptor_variant&splice_donor_5th_base_variant&splice_donor_variant&stop_retained_variant,del,->50,3,3,0,0,3,7.08e-01
3_prime_UTR_variant&NMD_transcript_variant&splice_acceptor_variant,mnv,0,3,3,0,3,0,7.08e-01
stop_lost,ins,+1,3,3,0,0,3,7.08e-01
NMD_transcript_variant&frameshift_variant&splice_region_variant,ins,+11..50,3,3,0,3,0,7.08e-01
5_prime_UTR_variant&intron_variant&splice_acceptor_variant,del,->50,3,3,0,0,3,7.08e-01
non_coding_transcript_exon_variant&splice_region_variant,ins,+2,3,3,0,3,0,7.08e-01
intron_variant&non_coding_transcript_exon_variant&splice_acceptor_variant,del,-4..10,3,3,0,0,3,7.08e-01
non_coding_transcript_exon_variant&splice_acceptor_variant,del,-4..10,3,3,0,3,0,7.08e-01
5_prime_UTR_variant&splice_region_variant,del,-1,3,3,0,3,0,7.08e-01
intron_variant&non_coding_transcript_variant&splice_acceptor_variant&splice_polypyrimidine_tract_variant,del,-3,3,3,0,0,3,7.08e-01
non_coding_transcript_exon_variant&splice_donor_variant,del,-3,3,3,0,3,0,7.08e-01
non_coding_transcript_exon_variant&splice_region_variant,del,-11..50,3,3,0,0,3,7.08e-01
intron_variant&splice_donor_5th_base_variant,del,->50,3,3,0,0,3,7.08e-01
NMD_transcript_variant&coding_sequence_variant&intron_variant&splice_acceptor_variant,ins,+2,2,2,0,0,2,8.42e-01
5_prime_UTR_variant&NMD_transcript_variant&splice_region_variant,del,-2,2,2,0,2,0,8.42e-01
3_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant&stop_retained_variant,del,->50,2,2,0,0,2,8.42e-01
NMD_transcript_variant&frameshift_variant&stop_lost,del,-4..10,2,2,0,0,2,8.42e-01
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant,ins,+11..50,2,2,0,2,0,8.42e-01
non_coding_transcript_exon_variant&splice_acceptor_variant,del,-3,2,2,0,2,0,8.42e-01
3_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_acceptor_variant&stop_retained_variant,del,->50,2,2,0,0,2,8.42e-01
splice_region_variant&stop_lost,del,-1,2,2,0,0,2,8.42e-01
non_coding_transcript_exon_variant&splice_acceptor_variant,del,-11..50,2,2,0,0,2,8.42e-01
intron_variant&non_coding_transcript_variant&splice_region_variant,del,-1,2,2,0,2,0,8.42e-01
NMD_transcript_variant&protein_altering_variant,ins,+3,2,2,0,0,2,8.42e-01
NMD_transcript_variant&inframe_insertion&stop_gained,ins,+11..50,2,2,0,0,2,8.42e-01
5_prime_UTR_variant&NMD_transcript_variant,mnv,0,2,2,0,2,0,8.42e-01
NMD_transcript_variant&frameshift_variant&splice_region_variant,ins,+4..10,2,2,0,2,0,8.42e-01
3_prime_UTR_variant&NMD_transcript_variant&splice_donor_variant,del,-3,2,2,0,2,0,8.42e-01
NMD_transcript_variant&frameshift_variant&splice_region_variant,ins,+2,2,2,0,2,0,8.42e-01
5_prime_UTR_variant&NMD_transcript_variant&splice_region_variant,ins,+1,2,2,0,2,0,8.42e-01
3_prime_UTR_variant&intron_variant&splice_acceptor_variant&stop_retained_variant,del,->50,2,2,0,0,2,8.42e-01
NMD_transcript_variant&intron_variant&splice_donor_5th_base_variant,del,->50,1,1,0,0,1,9.75e-01
NMD_transcript_variant&frameshift_variant&stop_gained,ins,+4..10,1,1,0,0,1,9.75e-01
non_coding_transcript_exon_variant&splice_donor_variant,del,->50,1,1,0,0,1,9.75e-01
stop_lost,del,-1,1,1,0,0,1,9.75e-01
NMD_transcript_variant&coding_sequence_variant&splice_acceptor_variant,mnv,0,1,1,0,1,0,9.75e-01
5_prime_UTR_variant&NMD_transcript_variant&start_lost,del,-4..10,1,1,0,0,1,9.75e-01
3_prime_UTR_variant&stop_retained_variant,del,->50,1,1,0,0,1,9.75e-01
intron_variant&splice_donor_5th_base_variant&splice_polypyrimidine_tract_variant,del,->50,1,1,0,0,1,9.75e-01
frameshift_variant&splice_region_variant&start_lost,del,-11..50,1,1,0,0,1,9.75e-01
intron_variant&non_coding_transcript_exon_variant&splice_donor_region_variant&splice_donor_variant,del,-3,1,1,0,0,1,9.75e-01
3_prime_UTR_variant&intron_variant&splice_acceptor_variant,del,->50,1,1,0,0,1,9.75e-01
non_coding_transcript_exon_variant&splice_acceptor_variant,del,-2,1,1,0,1,0,9.75e-01
stop_lost,del,-2,1,1,0,0,1,9.75e-01
3_prime_UTR_variant&NMD_transcript_variant&splice_donor_variant,del,->50,1,1,0,0,1,9.75e-01
intron_variant&non_coding_transcript_variant&splice_acceptor_variant&splice_polypyrimidine_tract_variant,del,-11..50,1,1,0,0,1,9.75e-01
5_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_acceptor_variant&splice_donor_5th_base_variant&splice_donor_variant,del,->50,1,1,0,0,1,9.75e-01
