consequence_class,var_type,length_bin,n,dv_concordant,dv_discordant,fv_concordant,fv_discordant,dv_upper95
NMD_transcript_variant&intron_variant&splice_donor_5th_base_variant,snv,0,857,857,0,857,0,4.30e-03
upstream_gene_variant,del,-11..50,855,855,0,855,0,4.31e-03
upstream_gene_variant,del,-4..10,853,853,0,853,0,4.32e-03
intron_variant,del,-3,847,847,0,847,0,4.35e-03
NMD_transcript_variant&splice_region_variant&synonymous_variant,snv,0,844,844,0,844,0,4.36e-03
intron_variant,ins,+4..10,825,825,0,825,0,4.46e-03
non_coding_transcript_exon_variant,ins,+1,816,816,0,816,0,4.51e-03
upstream_gene_variant,del,-3,813,813,0,813,0,4.53e-03
intron_variant&non_coding_transcript_variant,ins,+1,803,803,0,803,0,4.58e-03
upstream_gene_variant,del,-2,780,780,0,780,0,4.72e-03
downstream_gene_variant,del,-11..50,751,751,0,751,0,4.90e-03
NMD_transcript_variant&intron_variant,ins,+1,738,738,0,738,0,4.99e-03
intron_variant,ins,+2,705,705,0,705,0,5.22e-03
intron_variant&non_coding_transcript_variant,del,-2,702,702,0,702,0,5.24e-03
intron_variant&non_coding_transcript_variant&splice_donor_region_variant,snv,0,700,700,0,700,0,5.26e-03
downstream_gene_variant,ins,+11..50,695,695,0,695,0,5.29e-03
inframe_deletion,del,-11..50,689,689,0,689,0,5.34e-03
3_prime_UTR_variant&NMD_transcript_variant,del,-3,677,677,0,677,0,5.43e-03
inframe_deletion,del,-4..10,666,666,0,666,0,5.52e-03
NMD_transcript_variant&intron_variant,del,-2,639,639,0,639,0,5.76e-03
downstream_gene_variant,ins,+4..10,639,639,0,639,0,5.76e-03
start_lost,snv,0,638,638,0,638,0,5.77e-03
non_coding_transcript_exon_variant,del,-2,629,629,0,629,0,5.85e-03
3_prime_UTR_variant&NMD_transcript_variant,del,-4..10,597,597,0,597,0,6.16e-03
intron_variant,del,-11..50,589,589,0,589,0,6.24e-03
intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,del,-1,576,576,0,576,0,6.38e-03
intron_variant&non_coding_transcript_variant,del,-4..10,571,571,0,571,0,6.44e-03
NMD_transcript_variant&frameshift_variant,del,-2,569,569,0,569,0,6.46e-03
intron_variant&non_coding_transcript_variant&splice_region_variant,snv,0,506,506,0,506,0,7.26e-03
intron_variant&splice_polypyrimidine_tract_variant,del,-4..10,499,499,0,386,113,7.37e-03
inframe_insertion,ins,+4..10,479,479,0,479,0,7.67e-03
intron_variant,ins,+11..50,477,477,0,458,19,7.70e-03
downstream_gene_variant,ins,+2,476,476,0,476,0,7.72e-03
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant,del,-1,473,473,0,473,0,7.77e-03
intron_variant&splice_polypyrimidine_tract_variant,ins,+1,456,456,0,449,7,8.06e-03
non_coding_transcript_exon_variant,del,-3,448,448,0,448,0,8.20e-03
3_prime_UTR_variant,del,-2,447,447,0,447,0,8.22e-03
NMD_transcript_variant&intron_variant,del,-4..10,446,446,0,446,0,8.24e-03
inframe_insertion,ins,+3,443,443,0,443,0,8.29e-03
intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,ins,+1,438,438,0,397,41,8.39e-03
downstream_gene_variant,mnv,0,433,433,0,433,0,8.48e-03
intron_variant,mnv,0,427,427,0,427,0,8.60e-03
