date,engine,impact,class,n_variants,pairs,agree,pct
2026-06-17,duckvep,HIGH,del,50000,24631,24615,99.935
2026-06-17,duckvep,HIGH,ins,50000,10447,10366,99.2247
2026-06-17,duckvep,HIGH,mnv,50000,312,312,100.0
2026-06-17,duckvep,HIGH,snv,50000,43184,43183,99.9977
2026-06-17,duckvep,LOW,del,50000,7269,7238,99.5735
2026-06-17,duckvep,LOW,ins,50000,3522,3522,100.0
2026-06-17,duckvep,LOW,mnv,50000,174,174,100.0
2026-06-17,duckvep,LOW,snv,50000,212558,212558,100.0
2026-06-17,duckvep,MODERATE,del,50000,3570,3570,100.0
2026-06-17,duckvep,MODERATE,ins,50000,1910,1860,97.3822
2026-06-17,duckvep,MODERATE,mnv,50000,1484,1484,100.0
2026-06-17,duckvep,MODERATE,snv,50000,407271,407271,100.0
2026-06-17,duckvep,MODIFIER,del,50000,36247,36247,100.0
2026-06-17,duckvep,MODIFIER,ins,50000,19351,19320,99.8398
2026-06-17,duckvep,MODIFIER,mnv,50000,2037,2037,100.0
2026-06-17,duckvep,MODIFIER,snv,50000,664797,664797,100.0
2026-06-17,fastvep,HIGH,del,50000,24631,22485,91.2874
2026-06-17,fastvep,HIGH,ins,50000,10447,9932,95.0704
2026-06-17,fastvep,HIGH,mnv,50000,312,196,62.8205
2026-06-17,fastvep,HIGH,snv,50000,43184,43164,99.9537
2026-06-17,fastvep,LOW,del,50000,7269,6146,84.5508
2026-06-17,fastvep,LOW,ins,50000,3522,3115,88.4441
2026-06-17,fastvep,LOW,mnv,50000,174,173,99.4253
2026-06-17,fastvep,LOW,snv,50000,212558,212521,99.9826
2026-06-17,fastvep,MODERATE,del,50000,3570,3390,94.958
2026-06-17,fastvep,MODERATE,ins,50000,1910,1801,94.2932
2026-06-17,fastvep,MODERATE,mnv,50000,1484,1173,79.0431
2026-06-17,fastvep,MODERATE,snv,50000,407270,407269,99.9998
2026-06-17,fastvep,MODIFIER,del,50000,36247,36227,99.9448
2026-06-17,fastvep,MODIFIER,ins,50000,19351,19342,99.9535
2026-06-17,fastvep,MODIFIER,mnv,50000,2037,2037,100.0
2026-06-17,fastvep,MODIFIER,snv,50000,664791,664761,99.9955
